username;fullName;Follower Count;Following Count;Public Email;Engagement Rate oF account;Website in URL;Total Posts;Business Category name;Phone Country Code;Public Phone Number;City;Link to Account;Is Private Account;Is business Account;User Bio;id
griferiapeirano;Griferia Peirano;66085;880;info@peirano.com.ar;0.2;http://www.griferiapeirano.com/;664;Business & Utility Services;54;1145096060;Munro |  Buenos Aires;https://www.instagram.com/griferiapeirano/;;True;Griferías de alta calidad para Baños y Cocinas | Innovación y Diseño  | 85 años de trayectoria 🏭 | Industria argentina 🇦🇷 | Catálogo completo y más info:;1914705985
estudio_zonazero;Zona Zero;31909;7083;arquitecturazonazero@gmail.com;;http://www.zzero.com.ar/;257;Business & Utility Services;54;91126432519;San Isidro |  Buenos Aires;https://www.instagram.com/estudio_zonazero/;;True;Estudio dedicado a construir y desarrollar proyectos Premium de arquitectura de primer nivel. Buenos Aires - Miami;6115996451
viteporcellanato;Vite Porcellanato;29657;904;info@viteporcellanato.com;;http://www.viteporcellanato.com/;471;Business & Utility Services;54;8109998483;;https://www.instagram.com/viteporcellanato/;;True;Marca argentina de porcellanato de alta gama. | Nos respaldan mas de 100 años de experiencia en el mundo de la cerámica. | Showroom: Nicaragua 5176 - CABA;5798598447
selvasnatatorios;Selvas Natatorios;11007;5266;sn@selvas-natatorios.com.ar;;http://www.selvas-natatorios.com.ar/;585;Business & Utility Services;54;1146644668;San Miguel |  Buenos Aires;https://www.instagram.com/selvasnatatorios/;;True;Lideres y especialistas en la construcción de piscinas y espacios que inspiran felicidad. | #TuPiletaSoñada | ☏ 𝟺𝟼𝟼𝟺 𝟺𝟼𝟼𝟾 | ✉ 𝑠𝑛@𝑠𝑒𝑙𝑣𝑎𝑠-𝑛𝑎𝑡𝑎𝑡𝑜𝑟𝑖𝑜𝑠.𝑐𝑜𝑚.𝑎𝑟;6361466468
capcosrl;CAPCO CONSTRUCCION;10583;3986;info@capco.com.ar;;http://capco.com.ar/;206;Business & Utility Services;54;1147230272;Beccar |  Buenos Aires;https://www.instagram.com/capcosrl/;;True;| Empresa Constructora | | Beccar - Buenos Aires -Argentina. | info@capco.com.ar | Tel. 011 4723-0272;38926905734
lantextil;LANTEXTIL  Premium Fabrics;9907;313;info@lantextil.com.ar;;https://wa.link/808mg7;79;Business & Utility Services;54;91131478440;Buenos Aires |  Argentina;https://www.instagram.com/lantextil/;;True;Mayorista Textil.  Telas de moda. | www.lantextil.com.ar | whatsapp👇🏼.;2110485799
novecento_company;Novecento Company;8836;3439;comercial@novecentocompany.com;;https://wa.me/5491141957640;423;Business & Utility Services;;;Pilar |  Buenos Aires;https://www.instagram.com/novecento_company/;;True;Marmoles y Travertinos de Turquía  | Showroom Pilar | Condominio PLAZA 46 | Local 6 | Calle Caamaño 1060  | Coordinar cita previa👇🏻;8649168714
giargia.construcciones;Giargia Construcciones;8152;2040;giargia.construcciones@gmail.com;0.1;http://www.giargiaconstrucciones.com.ar/;252;Business & Utility Services;;;;https://www.instagram.com/giargia.construcciones/;;True;Empresa Constructora | Construyendo desde 1994 | YouTube: Giargia Construcciones;6322176560
grupoltn.oficial;GRUPO LTN;7271;4854;grupoltnargentina@gmail.com;;https://linktr.ee/grupoltn.oficial;548;Business & Utility Services;54;2616674697;Maipú |  Mendoza;https://www.instagram.com/grupoltn.oficial/;;True;👷 Tecnología para un mundo sustentable | 🇦🇷 Envíos a todo el país. | 🌎 Exportamos a + de 10 países. | 📞 Mza • 261 5640600 | 📞 BsAs • 237 4655000 | 👇 ¡Conocenos!;8256262408
duxonpvc;Aberturas de PVC;4114;4481;matias@duxonpvc.com.ar;;https://linktr.ee/duxon;294;Business & Utility Services;54;91138508404;Lomas Del Mirador |  Buenos Aires |  Argentina;https://www.instagram.com/duxonpvc/;;True;Aberturas de PVC  | 🤩  La nueva generación de aberturas | ♻️  Eficiencia energética | 🤝  Estetica y seguridad | 📲  Productos y Contacto | ⬇️⬇️⬇️;6056309955
